ts_code,trade_date,close,pe,pe_ttm,total_mv,circ_mv,pb,turnover_rate
300185.SZ,20250808,3.03,285.3802,169.2927,1180789.475,1104998.2231,1.7755,4.3153
002746.SZ,20250808,6.38,26.6327,22.2144,549023.7078,452773.4328,1.221,1.8437
301003.SZ,20250808,34.21,23.5568,23.6951,332293.098,255241.1624,3.1636,3.1623
600066.SH,20250808,26.48,14.2426,13.9115,5862511.0625,5862511.0625,4.904,0.6406
301068.SZ,20250808,33.6,55.2312,59.8331,474820.8931,338613.4987,5.5921,5.3093
300870.SZ,20250808,136.15,54.4184,50.9209,1458350.0438,1458350.0438,6.2395,2.7708
920082.BJ,20250808,22.88,50.1614,46.1473,332572.24,89443.4455,6.5276,17.8028
600782.SH,20250808,4.33,420.3819,68.4336,1378040.7505,1362067.3805,0.5262,1.3324
301018.SZ,20250808,48.18,110.9227,107.4804,1281841.2534,958663.5447,5.0297,10.193
300259.SZ,20250808,3.77,23.0161,21.6052,441015.1715,440914.0281,1.5226,1.1345
603676.SH,20250808,12.7,22.4502,23.4378,552655.105,552655.105,3.97,1.3293
605303.SH,20250808,12.84,,,207028.8319,207028.8319,2.0458,2.623
301413.SZ,20250808,90.3,107.5261,98.4725,888569.9246,475567.3249,7.4223,9.7176
688539.SH,20250808,32.52,108.6466,148.6993,604611.84,340549.44,3.578,10.9856
688479.SH,20250808,20.86,37.3009,55.4461,301046.0964,129994.0964,1.6291,3.7722
000552.SZ,20250808,2.55,11.2385,18.7232,1364710.9383,950072.8652,0.828,0.7739
688719.SH,20250808,38.9,61.3818,96.0525,448849.276,344527.8784,2.6827,1.0958
002709.SZ,20250808,18.98,75.0817,69.9871,3633425.1891,2628548.8359,2.8473,1.4293
871857.BJ,20250808,19.45,88.1347,116.0009,143943.9106,143943.9106,3.7568,1.0779
600754.SH,20250808,22.19,25.9991,31.2828,2368602.3261,2014873.7972,1.5381,0.5384
002789.SZ,20250808,8.74,,,139510.9512,114913.333,,1.4472
688072.SH,20250808,164.65,66.9288,86.781,4605739.9279,4605739.9279,9.0207,1.007
300240.SZ,20250808,8.45,,,313970.6928,307055.1528,2.1758,4.6914
301329.SZ,20250808,21.37,52.1381,55.3799,363717.4,128100.328,2.3407,3.2203
300405.SZ,20250808,6.54,,,185979.7268,143090.5232,4.3028,6.9749
002393.SZ,20250808,23.97,33.4755,34.1946,617718.8826,600028.083,1.312,3.2581
836826.BJ,20250808,12.38,42.3507,41.0063,173958.5777,74506.0737,5.106,3.4606
300724.SZ,20250808,67.28,8.4651,8.0857,2339417.0066,1931851.2031,2.0555,11.6482
001288.SZ,20250808,22.47,33.5533,31.8646,527859.8315,340443.9991,2.6462,4.8363
603214.SH,20250808,19.32,25.1546,25.0635,267659.3496,267659.3496,2.3789,6.1507
688677.SH,20250808,46.69,41.3529,38.9782,559705.713,559705.713,4.4906,3.1443
300780.SZ,20250808,21.26,,,311820.42,222960.9526,2.9934,27.3659
300365.SZ,20250808,7.04,,,422298.2502,333905.5224,2.2566,4.7053
300948.SZ,20250808,11.9,,,166636.3283,155659.2483,2.1713,2.2516
833454.BJ,20250808,21.42,98.2825,85.8573,225124.2,135329.6858,7.321,7.8346
605299.SH,20250808,9.38,42.4933,45.2675,383854.4786,383854.4786,3.2088,1.9512
300663.SZ,20250808,18.35,,,877955.2692,821333.0082,11.605,4.3763
688597.SH,20250808,8.36,25.2368,22.5474,280945.7086,280945.7086,3.6508,1.891
301489.SZ,20250808,135.7,208.9049,181.7035,1095829.9752,645940.8476,10.565,22.9246
600035.SH,20250808,4.33,9.0822,9.1306,697180.1851,697180.1851,0.8075,0.4508
300293.SZ,20250808,26.61,,,900583.8001,745973.8751,10.1757,9.4584
002970.SZ,20250808,45.74,28.1364,24.1695,816023.2853,553488.5977,4.8245,2.5367
600183.SH,20250808,39.82,55.6364,50.6396,9673324.9873,9534905.1482,6.8384,1.1675
688216.SH,20250808,24.66,,,263565.5991,262100.7951,4.2453,3.0858
600470.SH,20250808,5.7,118.096,,297312.0,297312.0,1.6838,1.3603
301368.SZ,20250808,64.7,462.6562,802.1506,777047.0,414865.7168,7.9895,9.6781
600847.SH,20250808,11.68,,,179039.6832,179039.6832,3.3245,1.7217
300414.SZ,20250808,15.31,611.7657,631.7406,499135.8024,480029.4797,5.089,10.0076
000415.SZ,20250808,3.44,23.5356,17.9588,2127475.321,1855176.7722,0.6719,0.7569
000429.SZ,20250808,12.6,16.8643,14.6446,2634415.7188,1642194.5476,2.6335,0.2633
601952.SH,20250808,9.8,18.4978,20.8307,1350440.0,1350440.0,1.9894,0.6486
300192.SZ,20250808,15.45,35.056,35.7387,508526.4433,499244.8558,5.5945,4.3869
300693.SZ,20250808,33.72,24.5876,24.218,1054747.5152,901989.7444,5.9837,7.4471
600186.SH,20250808,6.17,54.6393,43.517,1106899.321,1102400.3421,6.2507,2.8727
300737.SZ,20250808,5.55,139.7818,193.456,616032.4392,492238.531,1.3497,2.9363
600708.SH,20250808,3.61,,,804537.8642,803325.2753,0.8352,1.714
003012.SZ,20250808,6.01,21.1697,22.4647,695345.676,688075.8718,0.9522,0.4147
002941.SZ,20250808,13.81,27.8878,27.3962,891547.8885,891547.8885,2.6592,5.06
000063.SZ,20250808,33.78,19.18,19.8584,16158780.8483,13604468.3924,2.3306,1.2026
600918.SH,20250808,6.84,50.8545,48.849,4766540.0171,2717401.9162,1.2634,0.4362
600520.SH,20250808,29.24,211.8078,286.3225,463249.32,463249.32,12.3094,3.0933
600483.SH,20250808,9.9,9.8536,9.3568,2752336.422,2752336.422,1.0927,1.8106
688480.SH,20250808,41.74,22.0124,33.4186,397891.4711,266493.9511,3.8464,1.2489
838701.BJ,20250808,19.74,15.7918,52.4625,270832.8,197809.0918,3.4537,1.7918
301533.SZ,20250808,43.05,53.2127,58.2663,423210.3435,122419.9935,3.8386,17.1875
600528.SH,20250808,9.19,11.5344,12.6017,2041605.9094,2041605.9094,0.8353,4.9114
600903.SH,20250808,7.04,129.501,251.0793,809605.9333,809605.9333,2.6776,1.6852
301298.SZ,20250808,17.8,41.7759,38.5563,261304.0,192603.9958,2.9194,2.6684
605056.SH,20250808,15.01,27.6302,26.1358,615961.2272,610416.5332,3.9012,1.0652
001337.SZ,20250808,23.92,40.4786,37.5867,1004640.0,689986.752,6.9146,3.7611
300284.SZ,20250808,9.59,53.9735,74.7652,1211051.8353,1148260.9123,1.4307,2.1093
603677.SH,20250808,19.96,56.9987,61.9674,384431.3265,384431.3265,3.4171,1.2864
002567.SZ,20250808,4.9,19.757,14.7558,702195.1826,701442.0428,1.2124,2.136
601618.SH,20250808,3.12,9.5847,11.3944,6465769.181,5570017.181,0.6287,0.9087
002203.SZ,20250808,12.26,35.7739,34.3187,2515979.1839,2430000.1681,1.8334,3.5477
300398.SZ,20250808,20.6,47.3746,38.1141,1167909.687,1161531.4965,2.5831,6.6411
301020.SZ,20250808,23.4,41.8287,39.6238,342576.0,342576.0,3.6478,0.9973
002331.SZ,20250808,8.45,97.3791,120.3962,359489.8279,334489.2743,2.1249,25.0245
688318.SH,20250808,117.52,99.0295,100.2493,3009916.0349,3009916.0349,8.4377,1.5584
603869.SH,20250808,8.09,192.7327,215.486,399740.3197,399740.3197,1.0947,0.4972
000807.SZ,20250808,16.87,13.2613,13.8557,5850444.1422,5850380.0295,2.0392,2.0477
603135.SH,20250808,10.43,116.5114,119.7508,656608.2174,263521.4137,2.2149,2.1387
600438.SH,20250808,20.15,,,9071501.9754,9071501.9754,2.0452,1.3699
603012.SH,20250808,6.04,18.3491,20.5496,392885.088,390486.0,1.0499,1.3707
002488.SZ,20250808,13.16,565.0901,623.4257,1309997.8095,1210830.5427,3.7844,0.4562
002345.SZ,20250808,16.59,76.1192,58.5601,1474042.5809,1438360.2415,4.213,3.4024
300087.SZ,20250808,9.26,76.6773,88.7368,877229.2014,827563.6915,4.5597,2.8651
003004.SZ,20250808,18.48,,,151280.2608,121597.1304,2.3935,2.3838
600161.SH,20250808,20.43,26.0771,27.7526,4039769.8642,4039769.8642,3.4905,0.9185
002185.SZ,20250808,10.01,52.0517,59.326,3207689.1326,3206943.5328,1.945,1.6916
002142.SZ,20250808,28.71,6.9889,6.7111,18958909.1638,18948298.1603,0.9283,0.2798
002098.SZ,20250808,9.46,16.7742,15.5994,338668.0,338653.81,2.529,1.5781
002337.SZ,20250808,6.11,90.3884,88.9995,359644.2233,359265.8811,2.8402,1.6868
002295.SZ,20250808,11.4,103.118,101.3458,285702.24,285335.16,2.1029,8.5455
600080.SH,20250808,7.79,38.9723,56.0652,290777.552,290777.552,1.8746,2.0249
601908.SH,20250808,3.73,,,900646.8672,900646.8672,1.0083,2.5027
300074.SZ,20250808,5.32,,,289296.3864,288414.3772,2.8731,3.4178
600179.SH,20250808,3.25,22.5289,17.176,1375246.2682,1216876.8609,1.2487,1.2486
