ts_code,pb
002462.SZ,1.0135
002465.SZ,2.785
002466.SZ,1.6034
002468.SZ,2.7285
002467.SZ,4.4276
002463.SZ,8.3926
002469.SZ,2.1772
002470.SZ,2.7501
002471.SZ,3.9311
002474.SZ,3.1586
002478.SZ,0.9057
002472.SZ,3.3349
002476.SZ,3.2065
002475.SZ,3.746
002479.SZ,1.1419
002480.SZ,5.7636
002481.SZ,2.5542
002485.SZ,1.7496
002483.SZ,1.5006
002484.SZ,3.9105
002482.SZ,12.4951
002486.SZ,2.2521
002487.SZ,2.7361
002488.SZ,3.7844
002489.SZ,1.8242
002491.SZ,2.2832
002490.SZ,10.3234
002492.SZ,1.7338
002493.SZ,2.2052
002495.SZ,2.3139
002494.SZ,1.6363
002496.SZ,1.8961
002497.SZ,1.5589
002498.SZ,1.4311
002500.SZ,1.2348
002501.SZ,22.0388
002507.SZ,1.7992
002506.SZ,7.0106
002508.SZ,1.6592
002510.SZ,2.7065
002511.SZ,1.9018
002512.SZ,10.0114
002513.SZ,168.5836
002514.SZ,26.5663
002516.SZ,2.2045
002517.SZ,5.9411
002515.SZ,3.4053
002518.SZ,3.2669
002519.SZ,2.6493
002520.SZ,11.0939
002521.SZ,1.3008
002522.SZ,2.0454
002523.SZ,2.2788
002524.SZ,21.6335
002526.SZ,2.2464
002527.SZ,9.0569
002528.SZ,19.4252
002529.SZ,6.1979
002530.SZ,6.1095
002531.SZ,1.3408
002532.SZ,1.6705
002534.SZ,2.606
002533.SZ,2.0251
002535.SZ,5.0008
002536.SZ,3.6243
002537.SZ,2.6896
002538.SZ,0.8815
002539.SZ,1.4638
002542.SZ,9.3651
002540.SZ,1.4395
002541.SZ,1.3275
002543.SZ,2.1658
002544.SZ,4.4096
002545.SZ,1.4067
002546.SZ,1.519
002548.SZ,2.2223
002547.SZ,2463.8574
002550.SZ,5.1576
002549.SZ,4.2022
002551.SZ,1.4853
002552.SZ,3.6183
002553.SZ,7.7411
002554.SZ,1.6596
300246.SZ,2.2253
300245.SZ,4.3271
300247.SZ,3.5056
300248.SZ,3.3786
300251.SZ,5.9435
300249.SZ,23.0982
300250.SZ,6.924
300252.SZ,3.7329
300253.SZ,3.927
300254.SZ,11.585
300255.SZ,24.0452
300256.SZ,10.0182
300257.SZ,2.144
300259.SZ,1.5226
300258.SZ,1.7738
300260.SZ,7.1781
300261.SZ,3.8553
300264.SZ,101.7378
300263.SZ,2.5434
300265.SZ,2.0738
300268.SZ,
300267.SZ,1.8527
300266.SZ,65.3787
300269.SZ,32.9128
300271.SZ,1.8617
300270.SZ,4.447
300272.SZ,3.6118
300275.SZ,4.7253
300276.SZ,7.6691
300274.SZ,4.3867
300277.SZ,8.9171
300278.SZ,4.5161
300280.SZ,0.3628
300279.SZ,3.8187
300284.SZ,1.4307
300285.SZ,2.8544
300281.SZ,2.6343
300283.SZ,3.4965
300286.SZ,2.6479
300287.SZ,6.8753
300289.SZ,3.5801
300288.SZ,5.0194
300290.SZ,14.8445
300291.SZ,1.8314
300293.SZ,10.1757
300294.SZ,1.803
300292.SZ,4.6289
300295.SZ,2.5123
300296.SZ,2.1525
300300.SZ,21.7506
300298.SZ,3.7874
300301.SZ,155.5006
300299.SZ,11.302
300302.SZ,6.965
300303.SZ,2.4881
300304.SZ,3.1934
300305.SZ,1.2097
300310.SZ,3.0289
300306.SZ,2.5715
300307.SZ,1.9816
300308.SZ,11.4499
300313.SZ,
300311.SZ,5.6563
300314.SZ,3.421
300315.SZ,3.3445
300317.SZ,2.1546
300320.SZ,2.5371
300319.SZ,2.3066
300318.SZ,3.8382
300316.SZ,2.207
300321.SZ,4.5009
300322.SZ,13.4667
300323.SZ,1.7788
300324.SZ,2.9949
300326.SZ,1.6229
300328.SZ,7.5757
300327.SZ,5.2307
300329.SZ,4.3399
300331.SZ,3.7528
300332.SZ,1.0984
300333.SZ,8.3368
300334.SZ,3.9014
300335.SZ,1.5613
300340.SZ,87.8352
300339.SZ,11.9317
300338.SZ,186.2221
300337.SZ,5.3384
300341.SZ,4.8207
300344.SZ,15.3157
300343.SZ,2.7457
300345.SZ,7.516
300342.SZ,5.2569
300347.SZ,2.7985
300348.SZ,6.3537
300349.SZ,1.2246
300346.SZ,6.5873
300352.SZ,5.905
300351.SZ,2.7189
300350.SZ,4.1508
300353.SZ,6.4454
300354.SZ,7.4741
300357.SZ,5.7777
300358.SZ,1.2295
300355.SZ,1.5995
300359.SZ,6.8561
300360.SZ,2.0921
300364.SZ,20.4405
300365.SZ,2.2566
300363.SZ,2.3268
300366.SZ,2.8771
300368.SZ,53.8303
300369.SZ,2.5832
300370.SZ,9.0358
300371.SZ,2.452
300374.SZ,5.3357
300375.SZ,1.7301
300373.SZ,3.556
300376.SZ,1.429
300377.SZ,7.1766
300378.SZ,6.9145
300381.SZ,1.4948
300379.SZ,0.952
300380.SZ,16.9465
300382.SZ,4.2086
300383.SZ,2.0093
300384.SZ,2.4115
300385.SZ,10.0139
300386.SZ,5.3458
300387.SZ,2.0048
300388.SZ,1.2022
300389.SZ,2.981
300390.SZ,1.5747
300391.SZ,
300393.SZ,2.0627
300394.SZ,19.0993
300395.SZ,9.4947
300396.SZ,2.1105
300397.SZ,5.1581
300398.SZ,2.5831
300399.SZ,12.3115
300400.SZ,7.5727
300401.SZ,2.8214
300402.SZ,3.2528
300403.SZ,4.6411
300405.SZ,4.3028
300404.SZ,4.1872
300407.SZ,2.0245
300406.SZ,2.3125
300408.SZ,3.3398
300409.SZ,1.8441
300410.SZ,13.4574
300411.SZ,5.9127
300413.SZ,1.8063
300412.SZ,2.8236
300414.SZ,5.089
300415.SZ,3.532
300416.SZ,3.2239
300417.SZ,4.154
300418.SZ,3.0196
300419.SZ,5.1934
300421.SZ,4.0376
300420.SZ,1.9731
300422.SZ,2.1938
300423.SZ,2.6184
300426.SZ,9.1973
300424.SZ,5.9012
300425.SZ,1.6108
300427.SZ,2.9123
300428.SZ,1.6649
300432.SZ,5.0235
300430.SZ,2.6114
300429.SZ,4.2656
300434.SZ,1.6988
300435.SZ,2.2107
300436.SZ,57.092
300433.SZ,2.3497
300437.SZ,1.6578
300438.SZ,2.6406
300439.SZ,1.55
300440.SZ,3.8673
300441.SZ,2.2734
300442.SZ,7.7835
300443.SZ,1.2164
300444.SZ,3.5757
300445.SZ,3.3689
300446.SZ,3.0486
300447.SZ,2.7311
300449.SZ,9.0788
300448.SZ,3.7149
300450.SZ,3.3957
300452.SZ,3.9122
300451.SZ,1.9159
300454.SZ,4.9157
300453.SZ,3.6975
300455.SZ,7.6659
300456.SZ,2.8609
300457.SZ,2.1476
300458.SZ,11.0211
300459.SZ,9.3884
300460.SZ,5.0181
300461.SZ,6.2773
300462.SZ,1.2647
300463.SZ,1.2196
300464.SZ,22.5489
300465.SZ,10.5381
300466.SZ,7.879
300467.SZ,7.3754
300468.SZ,12.6756
300469.SZ,24.1746
300471.SZ,4.0468
300470.SZ,3.0228
300473.SZ,2.8922
300472.SZ,193.6814
300474.SZ,6.1461
300475.SZ,5.2998
300476.SZ,17.1583
300477.SZ,2.0958
300478.SZ,32.4674
300479.SZ,8.4579
300480.SZ,4.5896
300481.SZ,1.9417
300482.SZ,2.1474
300483.SZ,1.6857
300484.SZ,6.8438
300485.SZ,2.0886
300486.SZ,5.9258
300488.SZ,4.0017
300487.SZ,7.0872
300489.SZ,8.8348
300490.SZ,1.712
300491.SZ,3.2047
300492.SZ,31.2712
300493.SZ,9.3081
300494.SZ,4.8224
300497.SZ,2.6078
300496.SZ,2.7007
300498.SZ,2.8769
300499.SZ,4.7961
300500.SZ,2.473
300501.SZ,2.0483
300502.SZ,18.806
300503.SZ,5.992
300505.SZ,2.3243
300506.SZ,35.4772
300508.SZ,4.2575
300507.SZ,3.1593
300509.SZ,5.0125
300504.SZ,2.0441
300511.SZ,3.0067
300510.SZ,2.0819
600081.SH,1.5676
600079.SH,1.9378
600080.SH,1.8746
600082.SH,1.4225
600085.SH,3.8131
600088.SH,5.2446
600084.SH,5.0214
600089.SH,1.0675
600096.SH,2.1637
600094.SH,0.7454
600097.SH,1.2051
600098.SH,0.9013
600095.SH,2.6005
600099.SH,4.9773
600100.SH,1.5373
600101.SH,1.8922
600103.SH,1.3226
600104.SH,0.6913
600106.SH,1.677
600107.SH,3.0277
600105.SH,3.9338
600108.SH,1.3758
600109.SH,1.0191
600110.SH,1.8836
600111.SH,6.1497
600113.SH,5.7985
600115.SH,6.0939
600114.SH,5.7449
600116.SH,1.1831
600117.SH,2.991
600118.SH,5.6372
600119.SH,24.0745
600120.SH,1.341
600121.SH,2.7669
600127.SH,6.6304
600126.SH,1.5254
600123.SH,0.6393
600128.SH,1.266
600125.SH,1.038
600129.SH,3.7167
600130.SH,2.6985
600135.SH,1.8921
600131.SH,3.2073
600133.SH,1.13
600137.SH,3.663
600136.SH,16.0352
600132.SH,21.8583
600138.SH,1.1484
600141.SH,1.3173
600143.SH,1.9903
600149.SH,8.9484
600148.SH,6.988
600150.SH,3.4248
600152.SH,1.9974
600151.SH,2.2726
600153.SH,0.539
600155.SH,0.8257
600156.SH,7.3269
600158.SH,3.1694
600157.SH,0.6766
600159.SH,1.3991
600160.SH,4.2696
600161.SH,3.4905
600162.SH,0.936
600163.SH,1.5048
600165.SH,352.3415
600167.SH,1.28
600166.SH,1.4416
600168.SH,0.914
600169.SH,1.5516
600170.SH,0.7051
600171.SH,5.6358
600172.SH,4.9408
600177.SH,0.8465
600173.SH,1.1911
