ts_code,roe
002516.SZ,1.1885
002517.SZ,7.5137
002515.SZ,0.9229
002518.SZ,2.5221
002519.SZ,-1.2403
002520.SZ,-9.7394
002521.SZ,0.4444
002522.SZ,0.6366
002523.SZ,0.9305
002524.SZ,0.506
002526.SZ,1.687
002527.SZ,-0.6537
002528.SZ,2.683
002529.SZ,-8.3306
002530.SZ,1.0715
002531.SZ,0.3986
002532.SZ,3.868
002534.SZ,1.2664
002533.SZ,7.3703
002535.SZ,3.5715
002536.SZ,6.2685
002537.SZ,1.254
002538.SZ,0.7105
002539.SZ,2.8541
002542.SZ,-6.5099
002540.SZ,1.6726
002541.SZ,1.411
002543.SZ,3.7005
002544.SZ,-0.4412
002545.SZ,2.2815
002546.SZ,3.1854
002548.SZ,-1.7166
002547.SZ,-183.0394
002550.SZ,6.1959
002549.SZ,2.7644
002551.SZ,0.5282
002552.SZ,1.2327
002553.SZ,7.7644
002554.SZ,1.3183
300246.SZ,1.1783
300245.SZ,0.2538
300247.SZ,2.8662
300248.SZ,-1.6005
300251.SZ,20.6283
300249.SZ,2.1868
300250.SZ,0.0054
300252.SZ,0.1478
300253.SZ,0.0882
300254.SZ,3.4462
300255.SZ,0.2418
300256.SZ,-0.8832
300257.SZ,1.3491
300259.SZ,0.9255
300258.SZ,1.0166
300260.SZ,2.5842
300261.SZ,-0.6381
300264.SZ,6.9089
300263.SZ,1.3826
300265.SZ,0.2497
300268.SZ,
300267.SZ,0.6309
300266.SZ,-33.0395
300269.SZ,-5.1344
300271.SZ,-1.2035
300270.SZ,-2.303
300272.SZ,2.0098
300275.SZ,1.4282
300276.SZ,0.2985
300274.SZ,9.8502
300277.SZ,-0.2049
300278.SZ,0.2068
300280.SZ,0.6936
300279.SZ,3.8742
300284.SZ,1.1309
300285.SZ,2.0015
300281.SZ,0.1796
300283.SZ,-1.7571
300286.SZ,2.9003
300287.SZ,-2.3693
300289.SZ,-0.0753
300288.SZ,0.5997
300290.SZ,-3.1803
300291.SZ,-0.0262
300293.SZ,-0.5758
300294.SZ,1.8458
300292.SZ,2.5121
300295.SZ,-0.1796
300296.SZ,0.9556
300300.SZ,-6.4722
300298.SZ,2.1247
300301.SZ,-110.6136
300299.SZ,2.2781
300302.SZ,-2.5028
300303.SZ,1.8839
300304.SZ,3.1881
300305.SZ,-2.5104
300310.SZ,-0.5766
300306.SZ,0.7323
300307.SZ,2.3437
300308.SZ,7.9445
300313.SZ,
300311.SZ,-5.877
300314.SZ,1.9124
300315.SZ,0.5712
300317.SZ,0.1569
300320.SZ,2.2399
300319.SZ,1.3675
300318.SZ,-0.2945
300316.SZ,3.3882
300321.SZ,0.4607
300322.SZ,1.4892
300323.SZ,-1.4166
300324.SZ,-2.0375
300326.SZ,0.7956
300328.SZ,-0.5602
300327.SZ,0.8887
300329.SZ,-1.3586
300331.SZ,1.1161
300332.SZ,1.4539
300333.SZ,-0.2092
300334.SZ,0.2982
300335.SZ,0.9921
300340.SZ,4.2402
300339.SZ,0.8985
300338.SZ,-103.8544
300337.SZ,0.8637
300341.SZ,1.9001
300344.SZ,-6.8654
300343.SZ,0.256
300345.SZ,-5.7059
300342.SZ,0.556
300347.SZ,0.8032
300348.SZ,-0.1222
300349.SZ,0.9808
300346.SZ,2.8039
300352.SZ,-3.8503
300351.SZ,0.9414
300350.SZ,-0.5388
300353.SZ,-2.3339
300354.SZ,3.7611
300357.SZ,3.1094
300358.SZ,-0.1988
300355.SZ,-0.3996
300359.SZ,-3.258
300360.SZ,4.3327
300364.SZ,-9.3266
300365.SZ,0.2154
300363.SZ,-0.0823
300366.SZ,-3.2824
300368.SZ,-9.6969
