ts_code,pe
600089.SH,16.5707
600096.SH,8.4843
600094.SH,
600097.SH,44.2964
600098.SH,13.4235
600095.SH,282.5986
600099.SH,141.6178
600100.SH,177.9792
600101.SH,27.1162
600103.SH,61.415
600104.SH,120.7282
600106.SH,54.6969
600107.SH,
600105.SH,211.3917
600108.SH,61.3999
600109.SH,20.6492
600110.SH,
600111.SH,139.2712
600113.SH,102.6132
600115.SH,
600114.SH,41.687
600116.SH,41.8596
600117.SH,
600118.SH,1273.8215
600119.SH,
600120.SH,22.1774
600121.SH,17.8885
600127.SH,2012.7983
600126.SH,
600123.SH,14.1026
600128.SH,79.6885
600125.SH,19.9973
600129.SH,497.2849
600130.SH,509.1896
600135.SH,
600131.SH,30.9919
600133.SH,18.5747
600137.SH,83.3332
600136.SH,
600132.SH,23.9599
600138.SH,44.5267
600141.SH,17.0444
600143.SH,43.5159
600149.SH,25.2019
600148.SH,
600150.SH,48.2494
600152.SH,
600151.SH,
600153.SH,10.0595
600155.SH,263.7963
600156.SH,
600158.SH,130.8108
600157.SH,20.2722
600159.SH,
600160.SH,39.2107
600161.SH,26.0771
600162.SH,88.3263
600163.SH,15.8694
600165.SH,
600167.SH,21.2887
600166.SH,263.4455
600168.SH,55.0615
600169.SH,41.883
600170.SH,10.0022
600171.SH,61.6559
600172.SH,
600177.SH,12.3962
600173.SH,110.4
600178.SH,1207.3863
600179.SH,22.5289
600176.SH,20.14
600180.SH,74.8988
600182.SH,31.0559
600183.SH,55.6364
600184.SH,
600186.SH,54.6393
600187.SH,112.5743
600185.SH,
600188.SH,9.3451
600189.SH,847.8168
600191.SH,154.5599
600192.SH,
600193.SH,
600197.SH,24.7187
600195.SH,109.1961
600196.SH,25.4231
600198.SH,427.1651
600199.SH,
600200.SH,11.3969
600201.SH,87.3198
600202.SH,313.2168
600203.SH,
600206.SH,109.9966
600207.SH,
600208.SH,34.5136
600210.SH,11.8516
600211.SH,12.8647
600212.SH,504.1178
600217.SH,326.7743
600215.SH,54.6845
600218.SH,48.1324
600216.SH,12.8852
600219.SH,9.9066
600221.SH,
600222.SH,75.079
600223.SH,35.1901
600227.SH,
600226.SH,44.7444
600228.SH,
600229.SH,54.7378
600230.SH,196.5448
600231.SH,
600232.SH,116.163
600233.SH,14.4487
600234.SH,60.0863
600235.SH,32.5435
600237.SH,50.4645
