ts_code,grossprofit_margin
300430.SZ,40.9169
300429.SZ,24.2774
300434.SZ,60.2674
300435.SZ,25.5964
300436.SZ,65.6292
300433.SZ,12.7977
300437.SZ,10.9202
300438.SZ,14.1911
300439.SZ,39.7515
300440.SZ,34.2596
300441.SZ,27.6237
300442.SZ,49.725
300443.SZ,21.3756
300444.SZ,16.9448
300445.SZ,64.3156
300446.SZ,17.6972
300447.SZ,38.9324
300449.SZ,2.9144
300448.SZ,29.4372
300450.SZ,34.5296
300452.SZ,32.3607
300451.SZ,55.1232
300454.SZ,60.382
300453.SZ,34.9728
300455.SZ,28.5165
300456.SZ,42.9425
300457.SZ,28.1126
300458.SZ,32.5274
300459.SZ,87.1719
300460.SZ,15.188
300461.SZ,30.1111
300462.SZ,31.5273
300463.SZ,56.9589
300464.SZ,19.3326
300465.SZ,20.5683
300466.SZ,41.5776
300467.SZ,57.9715
300468.SZ,41.3685
300469.SZ,21.6823
300471.SZ,27.6579
300470.SZ,44.4268
300473.SZ,19.74
300472.SZ,-10.9119
300474.SZ,32.3694
300475.SZ,1.9843
300476.SZ,33.3747
300477.SZ,8.8894
300478.SZ,5.2469
300479.SZ,22.0969
300480.SZ,57.5238
300481.SZ,18.444
300482.SZ,66.6735
300483.SZ,16.2513
300484.SZ,39.2676
300485.SZ,62.2186
300486.SZ,17.963
300488.SZ,42.4614
300487.SZ,50.7924
300489.SZ,26.2313
300490.SZ,11.1545
300491.SZ,25.9921
300492.SZ,61.3634
300493.SZ,10.4671
300494.SZ,20.3957
300497.SZ,15.1269
300496.SZ,36.2809
300498.SZ,14.2869
300499.SZ,25.1435
300500.SZ,28.1019
300501.SZ,23.0041
300502.SZ,48.6597
300503.SZ,35.8376
300505.SZ,16.5043
300506.SZ,34.7185
300508.SZ,54.3013
300507.SZ,15.9363
300509.SZ,25.7212
300504.SZ,8.3619
300511.SZ,15.0065
300510.SZ,17.3976
600081.SH,12.2935
600079.SH,48.5573
600080.SH,76.2164
600082.SH,45.6849
600085.SH,45.5125
