ts_code,amihud
000559.SZ,7.672557401098554e-15
000560.SZ,3.245709605740361e-14
000561.SZ,2.4504615489311766e-14
000564.SZ,5.2975571314328575e-15
000565.SZ,6.039481482892627e-14
000563.SZ,1.1240974357224836e-14
000566.SZ,2.6186569769838294e-14
000567.SZ,1.8009669798036875e-14
000568.SZ,1.0348918041240958e-15
000570.SZ,4.882704357350943e-14
000571.SZ,5.363205057579913e-14
000573.SZ,7.391745305822297e-14
000576.SZ,4.032153769004182e-14
000572.SZ,2.880575221138425e-14
000581.SZ,9.344831318828364e-15
000582.SZ,1.0265672532352411e-14
000586.SZ,9.50750752670065e-14
000589.SZ,2.5589501745821345e-14
000591.SZ,1.1470479929499814e-14
000590.SZ,7.845910535846619e-14
000593.SZ,9.006375046852456e-14
000592.SZ,4.187160920189401e-14
000595.SZ,4.478017895508431e-14
000596.SZ,2.8587818506164277e-15
000597.SZ,2.4675134913612452e-14
000598.SZ,8.506557602910343e-15
000603.SZ,2.0273822828149543e-14
000599.SZ,4.6195225304969855e-14
000605.SZ,8.176716630539169e-14
000601.SZ,3.016824166961249e-14
000600.SZ,1.456186720254335e-14
000607.SZ,4.300169935573531e-14
000608.SZ,1.4963316214711338e-13
000609.SZ,2.3992266127630283e-13
000619.SZ,6.195830402152997e-14
000612.SZ,2.182147110856574e-14
000610.SZ,7.267731316336195e-14
000617.SZ,1.9554340967502752e-15
000615.SZ,1.0025637021053229e-13
000620.SZ,2.472532484394748e-14
000623.SZ,7.611931331671212e-15
000625.SZ,1.6575354435572183e-15
000626.SZ,6.049569849629662e-14
000627.SZ,2.754998670656346e-14
000628.SZ,1.4013449468463946e-14
000629.SZ,7.206860134662301e-15
000630.SZ,3.6005164402814745e-15
000631.SZ,2.9696741207993915e-14
000632.SZ,1.0760289993493138e-13
000633.SZ,8.047854898763295e-14
000635.SZ,7.807162557906077e-14
000637.SZ,7.988670988448553e-14
000636.SZ,1.3860017262666213e-14
000639.SZ,5.556529722266904e-14
000638.SZ,1.9961695603125074e-13
000650.SZ,2.5598216677289126e-14
000651.SZ,6.21510308590698e-16
