ts_code,turnover_rate
600889.SH,1.6408
600894.SH,0.494
600895.SH,9.5602
600897.SH,0.3745
600906.SH,7.6413
600905.SH,0.3318
600900.SH,0.3436
600903.SH,1.6852
600901.SH,0.4687
600908.SH,0.4734
600909.SH,0.5875
600916.SH,0.7842
600925.SH,0.653
600918.SH,0.4362
600927.SH,0.54
600917.SH,0.659
600919.SH,0.4713
600926.SH,0.4727
600928.SH,0.3576
600929.SH,0.5607
600930.SH,8.6286
600933.SH,1.4741
600935.SH,0.4572
600938.SH,0.9713
600939.SH,0.8681
600936.SH,0.8158
600941.SH,2.549
600955.SH,0.2684
600956.SH,0.7841
600959.SH,0.6976
600958.SH,0.9469
600960.SH,1.5437
600961.SH,3.2112
600963.SH,1.0928
600962.SH,3.7295
600965.SH,0.9143
600966.SH,0.7075
600968.SH,0.2873
600967.SH,7.5227
600970.SH,0.9118
600969.SH,2.2001
600973.SH,2.1252
600971.SH,0.8202
600975.SH,5.0629
600977.SH,2.5931
600976.SH,1.1821
600979.SH,1.2451
600980.SH,6.5275
600981.SH,1.8298
600982.SH,1.669
600983.SH,0.8063
600984.SH,1.8875
600985.SH,0.4288
600986.SH,3.872
600989.SH,0.4454
600988.SH,5.7904
600987.SH,0.8866
600992.SH,2.6325
600990.SH,7.1374
600996.SH,2.3059
600993.SH,1.0464
600995.SH,0.878
600999.SH,0.2269
600997.SH,0.3931
600998.SH,0.5587
601000.SH,0.443
601001.SH,1.27
601002.SH,2.836
601003.SH,2.5417
601005.SH,2.0007
601006.SH,0.1974
601007.SH,2.3288
601008.SH,1.3677
601009.SH,0.2567
601011.SH,1.1976
601010.SH,0.9823
601012.SH,0.8111
601015.SH,1.0337
601016.SH,1.17
601019.SH,0.2667
601020.SH,3.309
601018.SH,0.1859
601022.SH,3.6332
601021.SH,0.2516
601033.SH,1.0158
601059.SH,5.4491
601038.SH,0.5336
601065.SH,0.8218
601061.SH,2.889
601058.SH,0.5679
601068.SH,2.0328
601066.SH,0.1294
601069.SH,3.7212
601083.SH,3.7829
601089.SH,6.085
601077.SH,0.3838
601096.SH,1.1432
601086.SH,2.2793
601088.SH,0.1482
601098.SH,0.5748
601099.SH,1.8706
601100.SH,1.3842
601108.SH,0.5657
601101.SH,0.5741
601107.SH,0.6265
601106.SH,0.7072
601113.SH,0.8285
601111.SH,0.2783
601117.SH,1.3135
601121.SH,9.8588
601116.SH,1.6598
601118.SH,0.5368
601127.SH,0.8188
601133.SH,11.0848
601126.SH,0.7445
601128.SH,1.7012
601136.SH,3.0092
601138.SH,0.9071
601137.SH,1.342
601156.SH,1.0573
601155.SH,0.668
601139.SH,0.5638
