ts_code,ln_mv
000514.SZ,26.877750609694758
000516.SZ,27.815247155044222
000517.SZ,27.123126774586687
000518.SZ,26.207714809075657
000519.SZ,28.751530203075077
000520.SZ,26.91114414002482
000521.SZ,27.341677050865194
000523.SZ,27.135700546964813
000524.SZ,27.45479807111024
000525.SZ,27.517900356875383
000526.SZ,27.214396875206162
000528.SZ,28.484333399656858
000530.SZ,27.029701931402162
000529.SZ,26.6291837091375
000531.SZ,27.233083394475912
000533.SZ,27.006247094873743
000532.SZ,26.994494886167832
000536.SZ,27.95528802790455
000534.SZ,27.502581631905944
000537.SZ,28.227956617525884
000538.SZ,29.93082671853556
000539.SZ,28.540643393159215
000541.SZ,27.61689138346799
000543.SZ,28.11254588269166
000544.SZ,27.45687964525646
000545.SZ,26.32678257843462
000546.SZ,26.752180713454678
000547.SZ,27.94691577526882
000548.SZ,26.363603298678058
000550.SZ,28.224436221399635
000552.SZ,27.941963755326526
000554.SZ,26.53342000394893
000555.SZ,27.861139505368158
000553.SZ,28.105744911702523
000551.SZ,27.081657446125714
000557.SZ,27.44622481828793
000558.SZ,27.370897038317725
000559.SZ,28.56342750756004
000560.SZ,27.27037867171621
000561.SZ,27.522155499018613
000564.SZ,29.04180816267914
000565.SZ,26.63402719364348
000563.SZ,28.241345949014026
000566.SZ,27.432490612576114
000567.SZ,27.873491954210074
000568.SZ,30.52027489406817
000570.SZ,26.768280912072225
000571.SZ,26.696343302999725
000573.SZ,26.30015453679104
000576.SZ,27.016171429534886
000572.SZ,27.36497081321134
000581.SZ,28.29338537692396
000582.SZ,28.30381033155791
000586.SZ,26.238213429080663
000589.SZ,27.291410163287697
000591.SZ,28.204884297731617
000590.SZ,26.375652582846033
000593.SZ,26.194579578114073
000592.SZ,27.09213517376975
000595.SZ,27.02063126883226
000596.SZ,29.619325179960978
000597.SZ,27.43674429356918
000598.SZ,28.384754104092842
000603.SZ,27.73178988105695
000599.SZ,26.755265337542312
000605.SZ,26.284954832707346
000601.SZ,27.086735646885757
000600.SZ,27.91879341438484
000607.SZ,26.93112485970789
000608.SZ,25.655823995144427
000609.SZ,25.303739152385067
000619.SZ,26.3757377005739
000612.SZ,27.669855092385756
000610.SZ,26.429278603651284
000617.SZ,29.98653009859727
000615.SZ,26.189314305814047
000620.SZ,27.593296056990667
000623.SZ,28.45963392119823
000625.SZ,30.171056218736425
000626.SZ,26.622536534220846
000627.SZ,27.290079155417907
000628.SZ,28.104137196468606
000629.SZ,28.554858056295934
000630.SZ,29.271189091614023
000631.SZ,27.31379329014342
000632.SZ,25.97237985049927
000633.SZ,26.261269982695687
000635.SZ,26.35847770202198
000637.SZ,26.128222836532725
000636.SZ,28.106885895338834
000639.SZ,26.56801819195294
000638.SZ,25.570260783971577
000650.SZ,27.41926782275464
000651.SZ,30.91091936904195
000652.SZ,27.20362268538263
000655.SZ,26.94752425092465
000656.SZ,27.332912203623216
000657.SZ,28.953085950700395
000659.SZ,26.678353588730534
000661.SZ,29.085278837714274
000663.SZ,26.20553811438904
000665.SZ,27.25370772179097
000668.SZ,25.64541351731521
000669.SZ,26.187529127682232
000672.SZ,27.52629192660897
000676.SZ,27.722451470024453
000670.SZ,27.241628028431137
000677.SZ,26.88333309023403
000678.SZ,27.33483886913819
000679.SZ,26.46349980940053
000680.SZ,28.043556907931087
000681.SZ,27.994959851986952
000685.SZ,27.999551887770643
000682.SZ,27.97302328951064
000683.SZ,28.397952962959565
000686.SZ,28.286566501659486
000688.SZ,28.093455669734418
000690.SZ,27.65768161622544
000691.SZ,26.191144147205318
000692.SZ,26.03651794251056
000697.SZ,27.283360575183174
000695.SZ,26.297193888916713
000698.SZ,26.537937677759718
000700.SZ,27.323585659144133
000701.SZ,26.757906704572967
000702.SZ,26.40072087000723
000703.SZ,28.39684371820307
000705.SZ,26.476086885233318
000707.SZ,26.450974765402425
000708.SZ,29.512210597887293
000709.SZ,28.552068686246123
000711.SZ,26.90882807482397
000710.SZ,26.982576225459145
000712.SZ,27.876079571913447
000713.SZ,26.824456360831068
000715.SZ,26.542430748125238
000716.SZ,26.923333058778713
000717.SZ,27.298980656897776
000718.SZ,27.21325480020006
000720.SZ,26.840498999040857
000719.SZ,27.929316173936297
000721.SZ,26.914402782497486
000722.SZ,27.08503372588785
000723.SZ,28.336886542731044
000726.SZ,27.078302996214223
000725.SZ,30.336772155022242
000727.SZ,27.7228299086616
000728.SZ,28.952372929876674
000729.SZ,28.938792593028445
000731.SZ,26.708026745041238
000733.SZ,28.62629128102179
002281.SZ,29.026243618193178
002286.SZ,26.727659262498538
002284.SZ,27.466720835472717
002287.SZ,28.07738896755268
002289.SZ,27.3140879747644
002290.SZ,27.34834682823233
002292.SZ,27.961372095035887
002291.SZ,27.138217311722244
002294.SZ,29.303942284303705
002293.SZ,27.289441369476986
002295.SZ,26.378215986544422
002298.SZ,27.03837578419769
002297.SZ,26.97672163819295
002296.SZ,26.83589371518028
002299.SZ,28.377732902279295
002300.SZ,26.881105129903805
002301.SZ,26.957607361446904
002302.SZ,27.514442112471894
002303.SZ,27.14833491393547
002306.SZ,25.793216896680434
002305.SZ,27.078956111243162
002304.SZ,29.9692470280487
002307.SZ,27.09433466377792
002309.SZ,27.617443603561778
002310.SZ,27.86201985003297
002311.SZ,29.890164230803244
002312.SZ,28.378789321433832
002316.SZ,26.07934103764614
002314.SZ,27.36837011416585
002313.SZ,27.051385461102132
002317.SZ,28.210357736050316
002315.SZ,28.120742387302954
002319.SZ,26.337885487728165
002318.SZ,28.426825598604598
002320.SZ,28.19555523729433
002322.SZ,26.901782852832515
002321.SZ,27.10114460356003
002324.SZ,28.003686688090994
002323.SZ,26.562681548387648
002326.SZ,27.86684259173886
002327.SZ,27.13986615568654
002328.SZ,26.890685593596398
002329.SZ,26.482627815008136
002330.SZ,26.494190382748098
002332.SZ,27.660349081335145
002331.SZ,26.60795171857507
002333.SZ,26.627221155157066
002334.SZ,27.284237617799533
002335.SZ,28.418912997758145
002337.SZ,26.608381111126054
002340.SZ,28.84036693471501
002342.SZ,27.303849494190292
002338.SZ,27.813342672722502
002339.SZ,26.762102333508775
002343.SZ,26.685581768657222
002344.SZ,27.0769615601819
002346.SZ,27.33240845351192
002345.SZ,28.019029797270303
002350.SZ,26.7126178399536
002348.SZ,26.642830433963276
002349.SZ,27.191984855263797
002351.SZ,27.794140882687458
002347.SZ,26.63389272077903
002352.SZ,30.812746888807208
002353.SZ,29.16686284522566
002356.SZ,26.768801711158346
002354.SZ,27.84822220638453
002355.SZ,26.723121975952477
002357.SZ,26.488870141498982
002358.SZ,26.925195816177354
002360.SZ,26.10851023680225
