ts_code,ln_mv,pe,pe_ttm,pb,momentum_12m_ex1m,volatility,turnover_rate,amihud,roe,grossprofit_margin,revenue_growth,profit_growth
000068.SZ,26.59354632073572,270.2314,183.1766,5.129,0.31892411143131594,0.4816232423139555,1.8528,6.090488493331084e-14,-2.4752,7.8192,-20.9799,
000069.SZ,28.241138035656423,,,0.379,0.21020835112287606,0.4496823197246662,0.4529,9.933220414390282e-15,-2.7062,5.4134,-38.4018,
000066.SZ,29.20499669425123,,,4.4122,0.7771113084743968,0.4931763086474881,2.5746,4.465678438756337e-15,-1.4388,13.4001,7.321,
000070.SZ,27.331244515308008,,,4.9855,0.7917256342179442,0.5192555498173668,12.9669,3.092012069065307e-14,-1.0079,17.031,-26.1595,
000078.SZ,27.292795506687572,,,3.92,0.04394810555801265,0.4843540387452712,1.4682,2.7952316473305742e-14,1.3124,9.2342,-8.8075,
000089.SZ,28.027652584744708,33.5593,29.0775,1.3195,0.1017650980804996,0.3489517902685575,0.7038,9.466070124413319e-15,1.4245,24.4964,11.2019,
000088.SZ,28.498694285186765,17.6485,16.9497,1.3603,0.002178649237472685,0.4140792415241855,0.3935,7.035658279405404e-15,1.7356,22.3699,-14.0448,
000090.SZ,27.212057298002243,10.5987,11.6712,0.5856,-0.0026494053891313873,0.44750181647328424,0.8429,2.949730946696848e-14,0.2762,13.4026,4.8642,
000096.SZ,27.182982480261323,65.8931,61.0883,2.2993,0.36631282234799056,0.4377580295526888,1.0399,2.9283312743734135e-14,0.5157,10.7981,-37.8685,
000099.SZ,28.214369622593498,59.098,57.6402,3.3711,0.4853286548404765,0.473398913272284,3.2619,1.1338631536591159e-14,1.6994,21.8508,8.3713,
000100.SZ,29.798507280916184,55.8547,37.387,1.5346,0.16424275685440515,0.4420437144035888,1.0279,2.1898734663839803e-15,1.8976,13.2381,0.4187,
000151.SZ,26.79598487153382,,,12.7713,0.4318070818070818,0.5254755499523505,1.3768,5.3330779460471935e-14,-7.8495,17.5572,-47.3709,
000153.SZ,26.51809189179573,20.4306,21.6402,1.6287,0.33407530684418574,0.4820319256722444,4.3558,6.139724926698884e-14,1.8621,21.9699,-16.054,
000155.SZ,28.26197335885254,25.8554,34.2956,1.7875,0.017324571941120803,0.48406036121398266,1.0025,1.1393580970693398e-14,2.2782,52.1953,-16.6191,
000166.SZ,30.22787233019213,25.7576,23.1389,1.2589,0.21420628301362243,0.3271466956168695,0.2412,9.422058919062612e-16,1.8708,,-3.5368,
000333.SZ,31.637222995031852,14.2558,13.0931,2.6862,0.15150060492114958,0.40866165902095103,0.2905,2.9427219094265476e-16,5.5633,25.4471,20.4869,
000157.SZ,29.504721034471142,18.499,16.221,1.1711,0.09384592190562335,0.45965149277381484,1.3494,2.7538745572898414e-15,2.4422,28.6745,2.9199,
000301.SZ,29.403256711478022,,,1.7477,0.08597174163783161,0.44625441686971823,0.0995,3.192846988022522e-15,0.9946,9.8918,-17.5006,
000156.SZ,28.054205854773635,28.5921,28.0025,1.005,0.36124433134318634,2.6009076174654666,0.5991,1.4048658731035329e-14,0.8703,30.8576,3.6189,
000158.SZ,28.93393813214921,,,6.9787,2.731220006657914,0.5262875931262798,5.2363,6.3284782659296814e-15,-1.874,10.4027,38.3707,
000159.SZ,26.38264190700309,,,1.4038,0.15053155240561544,0.5261883819604838,9.3248,8.050231644015516e-14,1.2182,11.0758,-49.9611,
000338.SZ,30.220757746535654,11.6863,11.5738,1.5434,0.08328778607066234,0.4632826775464891,0.8439,1.383819284953733e-15,3.0771,22.2276,1.922,
000401.SZ,27.921511317667065,,,0.5103,0.08300164013121036,0.44846994092169906,0.8709,1.483295743596369e-14,-3.2086,8.458,16.8223,
000403.SZ,28.216193623675128,24.0876,25.1986,2.3142,-0.313688849382192,0.7688048396604061,2.6649,1.1170325131579406e-14,1.1179,48.0605,-14.0003,
000400.SZ,28.49331686224781,21.2064,21.7832,2.0843,-0.2982094726429563,0.4721173451960993,2.0001,8.63238023609405e-15,1.8198,23.4693,-16.4219,
000402.SZ,27.505156626034932,,,0.3599,0.4046579545119324,0.44298354705310866,0.5701,2.028108459247367e-14,-1.5457,8.8161,-57.9421,
000404.SZ,26.966152361968298,11.4245,10.7011,1.2331,0.25973765141530136,0.45602692315376714,1.8506,3.920081340659752e-14,6.2107,12.685,-1.5182,
000407.SZ,26.476061647057957,26.8736,25.2591,1.0679,0.38366085328159194,0.4534063767216583,1.9616,6.130876521562455e-14,0.9232,12.3019,-5.671,
000408.SZ,29.70321165982318,30.7839,25.7596,5.0512,0.9202722437769735,0.47083548392927943,0.4521,2.629905918085732e-15,12.1683,56.6595,-4.7408,
000409.SZ,27.48691269743169,93.3536,112.3279,5.601,0.553032442712158,0.5026781714365282,9.0043,2.6724693481932033e-14,2.0565,26.8626,-20.5466,
000410.SZ,28.091749523362466,2245.273,998.3746,5.7683,0.007916201354235763,0.47968980435177083,0.6912,1.3447445653032315e-14,-3.0634,8.9571,0.4557,
000411.SZ,27.102059767402093,11.212,11.3436,1.3195,0.17129268968736766,0.5037611298081691,2.082,3.69081548267022e-14,2.15,6.0028,-1.8725,
000419.SZ,26.49211851574672,21.3081,26.5736,0.9379,0.41074593069046994,0.46033864695804355,1.7441,6.031150423424636e-14,0.2433,22.7264,6.292,
000417.SZ,26.816777423809096,23.2442,27.5772,0.9441,0.3938137271470603,0.4224105221055606,1.6246,3.9741538284463864e-14,1.5881,24.1509,6.5504,
000420.SZ,27.6560532796454,369.9904,683.6137,2.331,0.31319340697019427,0.4791929414246835,3.0961,2.0274512065136892e-14,0.1882,12.2426,32.3949,
000415.SZ,28.38595709732666,23.5356,17.9588,0.6719,0.3553719008264462,0.4857893190507365,0.7569,9.625310054051043e-15,2.1206,24.7477,99.8237,
000421.SZ,26.689485094979005,84.9316,52.9009,1.4375,0.38604107134925447,0.43958349947560305,2.557,4.871732154728495e-14,1.204,11.9648,36.196,
000422.SZ,27.99271599719188,22.0025,26.1172,1.9877,0.05102313254985957,0.4639867720912194,1.5658,1.3958195705497702e-14,0.4603,10.3803,-6.2896,
