ts_code,pe_ttm
002474.SZ,
002478.SZ,8.6765
002472.SZ,27.5474
002476.SZ,47.3689
002475.SZ,18.9597
002479.SZ,14.6143
002480.SZ,
002481.SZ,107.384
002485.SZ,
002483.SZ,12.7938
002484.SZ,33.8545
002482.SZ,
002486.SZ,66.5037
002487.SZ,31.2786
002488.SZ,623.4257
002489.SZ,13.8448
002491.SZ,25.8777
002490.SZ,
002492.SZ,47.9045
002493.SZ,120.0526
002495.SZ,102.6295
002494.SZ,189.9112
002496.SZ,
002497.SZ,50.6256
002498.SZ,19.7271
002500.SZ,27.7227
002501.SZ,
002507.SZ,19.0831
002506.SZ,
002508.SZ,12.0745
002510.SZ,72.7885
002511.SZ,213.5278
002512.SZ,
002513.SZ,
002514.SZ,
002516.SZ,44.9942
002517.SZ,24.2775
002515.SZ,141.538
002518.SZ,37.0482
002519.SZ,
002520.SZ,
002521.SZ,63.6383
002522.SZ,64.5889
002523.SZ,80.1206
002524.SZ,
002526.SZ,51.6786
002527.SZ,
002528.SZ,
002529.SZ,
002530.SZ,3762.5129
002531.SZ,130.497
002532.SZ,9.3937
002534.SZ,43.9314
002533.SZ,14.0996
002535.SZ,36.1573
002536.SZ,34.3651
002537.SZ,244.3934
002538.SZ,16.8244
002539.SZ,15.3222
002542.SZ,
002540.SZ,17.6429
002541.SZ,17.3267
002543.SZ,15.3612
002544.SZ,
002545.SZ,20.4884
002546.SZ,12.9161
002548.SZ,58.6328
002547.SZ,
002550.SZ,31.5849
002549.SZ,136.1582
002551.SZ,175.4307
002552.SZ,34.3019
002553.SZ,70.5731
002554.SZ,
300246.SZ,
300245.SZ,
300247.SZ,67.4119
300248.SZ,71.7368
300251.SZ,32.1676
300249.SZ,
300250.SZ,
300252.SZ,214.4112
300253.SZ,302.6041
300254.SZ,87.8263
300255.SZ,
300256.SZ,
300257.SZ,42.4305
300259.SZ,21.6052
300258.SZ,54.2427
300260.SZ,67.8207
300261.SZ,
300264.SZ,
300263.SZ,64.9102
300265.SZ,110.5763
300268.SZ,
300267.SZ,
300266.SZ,
