ts_code,revenue_growth
002408.SZ,2.5271
002409.SZ,30.8764
002413.SZ,-10.3123
002412.SZ,6.0047
002410.SZ,-5.2411
002415.SZ,1.4777
002414.SZ,45.4698
002416.SZ,-41.2115
002418.SZ,28.9139
002419.SZ,-2.1799
002422.SZ,-29.4163
002420.SZ,25.4728
002421.SZ,-25.8391
002423.SZ,-77.8473
002424.SZ,-42.9306
002425.SZ,19.7501
002426.SZ,2.5172
002427.SZ,7.4401
002428.SZ,83.7766
002432.SZ,-33.4906
002431.SZ,-20.4608
002429.SZ,-9.3273
002430.SZ,7.8517
002434.SZ,8.7439
002437.SZ,-7.0604
002436.SZ,13.766
002438.SZ,1.2103
002440.SZ,2.2048
002439.SZ,-30.5444
002442.SZ,6.0449
002441.SZ,5.2424
002443.SZ,-15.344
002445.SZ,39.3248
002444.SZ,10.5889
002446.SZ,-0.051
002448.SZ,13.7706
002452.SZ,33.5692
002451.SZ,55.2904
002449.SZ,-18.4759
002453.SZ,-18.6199
002454.SZ,13.0853
002456.SZ,5.0715
002458.SZ,-3.9797
002455.SZ,23.0674
002459.SZ,-33.1792
002457.SZ,-21.5143
002460.SZ,-25.4275
002461.SZ,10.6919
002462.SZ,-37.1496
002465.SZ,-13.9675
002466.SZ,-0.0167
002468.SZ,18.4252
002467.SZ,-27.0145
002463.SZ,56.2528
002469.SZ,5.5405
002470.SZ,19.6719
002471.SZ,0.8135
002474.SZ,28.5201
002478.SZ,-7.0698
002472.SZ,-0.4702
002476.SZ,-5.0235
002475.SZ,17.9002
002479.SZ,12.8233
002480.SZ,-27.628
002481.SZ,14.8787
002485.SZ,29.9295
002483.SZ,-3.1483
002484.SZ,10.1398
002482.SZ,168.6033
002486.SZ,14.8764
002487.SZ,146.3583
002488.SZ,8.4786
002489.SZ,11.9026
002491.SZ,-15.2662
002490.SZ,50.5054
002492.SZ,-9.9958
002493.SZ,-7.5386
002495.SZ,-1.757
002494.SZ,-40.6597
002496.SZ,29.3661
002497.SZ,-17.0306
002498.SZ,2.5141
002500.SZ,19.1512
002501.SZ,-52.0173
002507.SZ,-4.7543
002506.SZ,7.0637
002508.SZ,-7.1965
002510.SZ,-1.1578
002511.SZ,12.0612
002512.SZ,-22.1903
002513.SZ,43.8584
002514.SZ,-66.7292
002516.SZ,15.7231
002517.SZ,3.4624
002515.SZ,-2.7585
002518.SZ,13.5141
002519.SZ,-59.7255
002520.SZ,-23.4902
002521.SZ,-2.8809
002522.SZ,-5.6072
002523.SZ,29.5853
002524.SZ,4.3248
002526.SZ,4.5898
002527.SZ,14.5371
002528.SZ,-61.2641
002529.SZ,124.2807
002530.SZ,-33.001
002531.SZ,-12.1041
002532.SZ,16.1161
002534.SZ,5.3225
002533.SZ,17.5018
002535.SZ,16.201
002536.SZ,-8.6743
002537.SZ,-18.0047
002538.SZ,33.6533
002539.SZ,15.2838
002542.SZ,-35.6118
002540.SZ,5.076
002541.SZ,8.775
002543.SZ,15.9358
002544.SZ,-19.5783
002545.SZ,6.4776
002546.SZ,11.5661
002548.SZ,11.2195
002547.SZ,-2.9896
002550.SZ,-2.2167
002549.SZ,10.5222
002551.SZ,1.3024
002552.SZ,-0.4671
002553.SZ,9.1844
002554.SZ,-53.1088
300246.SZ,-7.1691
300245.SZ,136.3454
300247.SZ,42.6839
300248.SZ,-16.1341
300251.SZ,177.8711
300249.SZ,26.4379
300250.SZ,-33.862
300252.SZ,20.8773
300253.SZ,-30.2364
300254.SZ,-4.0936
300255.SZ,-12.1009
300256.SZ,45.0202
300257.SZ,6.0287
300259.SZ,-13.1639
300258.SZ,1.7411
300260.SZ,-2.3274
300261.SZ,43.5206
300264.SZ,207.3395
300263.SZ,-0.464
300265.SZ,-12.9845
300268.SZ,-34.0895
300267.SZ,28.1949
300266.SZ,-4.6994
300269.SZ,-26.4772
300271.SZ,11.5894
300270.SZ,-51.439
300272.SZ,6.3145
300275.SZ,4.6938
300276.SZ,-31.8807
300274.SZ,50.9202
300277.SZ,-11.3379
300278.SZ,-51.2676
300280.SZ,-48.4474
300279.SZ,-13.2969
300284.SZ,-13.7506
300285.SZ,17.9355
300281.SZ,-14.5039
300283.SZ,39.8682
300286.SZ,0.5807
300287.SZ,-27.1447
300289.SZ,-16.6082
300288.SZ,-8.1461
300290.SZ,0.5182
300291.SZ,38.0136
300293.SZ,-8.1389
300294.SZ,19.4946
300292.SZ,5.0161
300295.SZ,-43.0483
300296.SZ,-7.5942
300300.SZ,38.5979
300298.SZ,2.7648
300301.SZ,-13.9357
300299.SZ,63.6602
300302.SZ,-49.2959
300303.SZ,21.0814
